Type,Matériaux,Teneur en carbone C (%),Utilisation,section,Nuances d'aciers,Résistances élastiques σe (MPa),Résistances à la rupture σr (MPa),Déformation limites l/l₀ (‰),Désignation,Signification,Valeur de H (mm),N°,DESIGNATION,CHARGE en daN/m²,NATURE des locaux,Charges daN/m²,Type d'action,Catégorie,Dénomination,Degré de l'action,Coefficients de pondération,Combinaison d'actions,Les combinaisons,Temps de récurrence (ans),Valeur,Région I,Région II,Région III,Région IV,Région V,Région VI,Régions,I,II,III,IV,V,VI,Paramètres,Zone I,Zone II,Zone III,Zone IV,Zone V,Zone VI,Zone VII,Zone VIII,Zone IX,Zone X,Type de parois,Valeur du coefficient résultante C',Profils,Dimensions (mm),Masse (kg/m),Surface de peinture (m²/m),Section A (cm²),Moment d'inertie (cm⁴),Module de flexion (cm³),Rayon de giration (cm),Distance entre ailes d (mm),Moment statique Sx (cm³),Séries,Dimensions (mm) e,Section (cm²),Moment d'inertie I_y (cm⁴),Module de flexion W_y (cm³),Rayon de giration i_y (cm),e (mm),Ix_a0,Wx_a0,Ix_a6,Wx_a6,Ix_a10,Wx_a10,Ix_a8,Wx_a8,Ix_a12,Wx_a12,Ix_a14,Wx_a14,Ix_a16,Wx_a16,Classe d'emploi,Conditions,Altérations,Type de bois,Classe de résistance,Domaine d'utilisation,Classe de service,Humidité relative de l'air ambiante à 20 °C,Humidité relative de l'air ne dépassant 85%,Types de structures,Nature de bois,Valeur de H (%),Observation,Emploi,Valeur de rᵥ (%),Valeur de v (%),Valeur de d,Exemple de bois,Symbole,Unité,C18,C22,C24,C27,C30,C35,C40,GL24h,GL28h,GL32h,GL36h,Classe du bois lamellé-collé,Bois des lamelles extérieures,Bois des lamelles intérieures panaché ou combiné,Essence de bois,Densité,Résistance à la compression,Résistance à la flexion,Module E,Retrait tangentiel,Retrait radial,Termite,Classe de Durabilité,Classe de densité,Classe d'emploi (sans traitement),Résistance mécanique,qk (daN/m²),Qk (daN),Poids propre (par mètre de longueur de cloison),Charge répartie équivalente qk (daN/m²),Etat limite vérifié,Action Permanente (Gk),"Action variable de base (Qk,1)","Actions variables d'accompagnement (Qk,i)",Action Accidentelle (γ_A*A_dk),Combinaison,Coefficients partiels en fonction du type d'action,Bâtiment usuel,Temps de récurrence (an),Régions I,Régions II,Régions III,Régions IV,Régions V,Régions VI,Réf.,Durée indicative (en année),Ouvrages,Catégorie de rugosité,Description,Z₀ (m),Z_min (m),Ref,Coefficients C_pe,Surface (S) reprenant l'action du vent (m²),h/d,"A_C_pe,10","A_C_pe,1","B_C_pe,10","B_C_pe,1","C_C_pe,10","C_C_pe,1","D_C_pe,10","D_C_pe,1","E_C_pe,10","E_C_pe,1",Angle de pente α,"F_C_pe,10_Au_Vent","F_C_pe,10_Sous_Vent","F_C_pe,1_Au_Vent","F_C_pe,1_Sous_Vent","G_C_pe,10_Au_Vent","G_C_pe,10_Sous_Vent","G_C_pe,1_Au_Vent","G_C_pe,1_Sous_Vent","H_C_pe,10_Au_Vent","H_C_pe,10_Sous_Vent","H_C_pe,1_Au_Vent","H_C_pe,1_Sous_Vent","I_C_pe,10_Au_Vent","I_C_pe,10_Sous_Vent","I_C_pe,1_Au_Vent","I_C_pe,1_Sous_Vent","J_C_pe,10_Au_Vent","J_C_pe,10_Sous_Vent","J_C_pe,1_Au_Vent","J_C_pe,1_Sous_Vent","F_C_pe,10","F_C_pe,1","G_C_pe,10","G_C_pe,1","H_C_pe,10","H_C_pe,1","I_C_pe,10","I_C_pe,1",Cas,Pression intérieure C_pi,Combinaisons fondamentales,Combinaisons accidentelles,Etats limites de service,Matérial,Norme,Classe de service 1,Classe de service 2,Classe de service 3,Type d'ouvrage,W_inst/lim,"W_net,fin/lim",W_fin/lim
,,,,Valeurs des charges d'exploitation,,,,,,,,16,,,Bâtiments scolaires et universitaires - Dépôt de livres,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,19,,,Bâtiments scolaires et universitaires - Cantines,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,20,,,Bâtiment de bureau - Bureaux,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,22,,,Bâtiment de bureau - Escaliers et circulations,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,23,,,Bâtiment de bureau - Hall de réception,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,24,,,Bâtiment de bureau - Salles de conférence et de projection,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,25,,,Bâtiment de bureau - Salles de dépôts,250 à 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,26,,,Bâtiment de bureau - Zones de distribution et de reprographie,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,28,,,Bâtiment de bureau - Salles d'archives,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,30,,,Bâtiments hospitaliers et dispensaires - Halls et guichets,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,31,,,"Bâtiments hospitaliers et dispensaires - Salles d'opérations, de plâtre, d'accouchement, de travail",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,32,,,Bâtiments hospitaliers et dispensaires - Chambres,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,33,,,Bâtiments hospitaliers et dispensaires - Autres services,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,34,,,Bâtiments hospitaliers et dispensaires - Salles,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,35,,,Bâtiments hospitaliers et dispensaires - Circulations générales,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,37,,,"Bâtiments hospitaliers et dispensaires - Salles de réunion, de conférence ou de restauration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,38,,,Bâtiments hospitaliers et dispensaires - avec S < 100 m²,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,39,,,Bâtiments hospitaliers et dispensaires - avec S > 100 m²,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,40,,,Bâtiments hospitaliers et dispensaires - Cuisines,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,41,,,Bâtiments hospitaliers et dispensaires - Buanderies,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,42,,,Salles de spectacles - Réservoir et dépôts,350 à 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,43,,,Salles de spectacles - Salles de spectacle,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,44,,,Parcs de stationnement - Voitures particulières,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,45,,,Parcs de stationnement - Terrasses non accessibles,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,46,,,Parcs de stationnement - Terrasses accessibles privées,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs des charges d'exploitation,,,,,,,,47,,,Parcs de stationnement - Terrasses accessibles aux publics,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coefficients de pondération,,,,,,,,,,,,,Actions permanentes,Actions permanentes G,"Poids propre, actions dues à des déformations permanentes, déplacement différentiel des appuis",G,"1,35 (ou 1,35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coefficients de pondération,,,,,,,,,,,,,Actions permanentes,Charges d'exploitation ou d'essai,,Q,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coefficients de pondération,,,,,,,,,,,,,Action variables,Neige,Sn,,"1,35 pour les calculs prenant en compte simultanément des actions appartenant à deux des trois catégories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coefficients de pondération,,,,,,,,,,,,,Action variables,Vent,Wn,,"1,2 pour les calculs prenant en compte simultanément des actions appartenant aux trois catégories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte une des trois actions Q, S, et Wn","1,35 G + 1,5 Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte une des trois actions Q, S, et Wn","1,35 G + 1,5 Sₙ + 1,5 (0,75 Wn)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte une des trois actions Q, S, et Wn","1,35 G + 1,5 Wn + 1,5 (0,75 Sₙ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte simultanément deux des trois actions Q, S, et Wn","1,2 (G + Sₙ + Wn) + 1,2 (0,75 Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte simultanément deux des trois actions Q, S, et Wn","1,2 (G + Q + Wn) + 1,2 (0,75 Sₙ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte simultanément deux des trois actions Q, S, et Wn","1,2 (G + Q + Sₙ) + 1,2 (0,75 Wn)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte simultanément les trois actions Q, S, et Wn","1,2 (G + Q + Sₙ + Wn)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte simultanément les trois actions Q, S, et Wn","1,2 (G + Q + Sₙ + Wn)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Les combinaisons d'actions,,,,,,,,,,,,,,,,,,"Prenant en compte simultanément les trois actions Q, S, et Wn","1,2 (G + Q + Sₙ + Wn)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,10,Vio (m/s),"20,50","21,00","21,20","21,90","24,00","29,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,10,Wio (daN/m²),"13,66","13,84","14,94","15,66","18,33","25,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,20,Vio (m/s),"24,80","25,00","25,80","26,40","29,10","33,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,20,Wio (daN/m²),"19,93","20,20","21,20","22,20","25,18","34,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,30,Vio (m/s),"27,20","27,50","28,20","29,10","31,50","35,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,30,Wio (daN/m²),"23,23","23,70","25,20","26,20","29,30","38,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vitesses (en m/s) et pressions dynamiques (en daN/m²) de base en fonction des temps de récurrences au Togo,,,,,,,,,,,,,,,,,,,,40,Vio (m/s),"28,40","28,80","29,70","30,50","33,00","36,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
